ID1,HHID,QHCLUSTER,QHNUMBER,QHHOME,QH91,QH93,QH95,QH96,QH96A,QH96M,QH96AC,QH97D,QH97M,QH97A,QH99,QH101,QH103,QH106,QHVIOLEN,QH100B
2025,      437102201,4371,22,1,2,2,2, , , , , , , , ,2,2,2,1,2
2025,      437102601,4371,26,1, ,2,2, , , , , , , , ,2,2,2,2,2
2025,      437102701,4371,27,1, ,2,2, , , , , , , , ,2,2,2,2,2
2025,      437103201,4371,32,1,2,2,1,7,1,11,2, , , , ,2,2,2,6,2
2025,      437104901,4371,49,1,2,2,2, , , , , , , , ,2,2,2,2,2
2025,      437106101,4371,61,1,2,2,2, , , , , , , , ,2,2, ,2,2
2025,      437200101,4372,1,1, ,2,1,2,1,4,2, , , , ,1,2,2,2,2
2025,      437200301,4372,3,1,2,2,2, , , , , , , , ,1,2, ,0, 
2025,      437201001,4372,10,1,2,2,2, , , , , , , , ,2,2,2,2,2
2025,      437202301,4372,23,1, ,2,2, , , , , , , ,2,1,2, ,2,2
2025,      437204401,4372,44,1, ,2,2, , , , , , , , ,2,2,2,2,2
2025,      437205801,4372,58,1,2,2,2, , , , , , , , ,1,2, ,1,2
2025,      437206901,4372,69,1, ,2,2, , , , , , , , ,2,2,2,1,2
2025,      437209501,4372,95,1, ,2,1,1,1,3,2, , , , ,2,2,2,1,2
2025,      437209601,4372,96,1,2,2,2, , , , , , , ,2,1,2,2,3,2
2025,      437300201,4373,2,1,2,2,2, , , , , , , , ,1,2, ,1,2
2025,      437302201,4373,22,1,2,2,2, , , , , , , , ,2,2,2,5,2
2025,      437304501,4373,45,1, ,2,2, , , , , , , ,2,2,2,2,2,2
