ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS100C1_A,PS100C1_M,PS100C_1S,PS8
2025,      439400601,2,4394,6,1,0,5,2,1
2025,      439406101,4,4394,61,1,0,6,2,1
2025,      439412201,6,4394,122,1,0,8,2,1
2025,      439412701,9,4394,127,1,1,0,2,1
2025,      439501901,7,4395,19,1,1,0,2,1
2025,      439508201,3,4395,82,1,1,8,2,1
2025,      439602201,4,4396,22,1,0,6,2,1
2025,      439604801,3,4396,48,1,0,1,2,1
2025,      439704601,2,4397,46,1,0,3,2,1
2025,      439708401,2,4397,84,1,2,9,2,1
2025,      439801101,3,4398,11,1,1,0,2,1
2025,      439802101,3,4398,21,1,1,4,2,1
2025,      439803701,3,4398,37,1,0,7,2,1
2025,      439900101,5,4399,1,1,0,9,2,1
2025,      439900501,4,4399,5,1,1,1,2,1
2025,      439900601,4,4399,6,1,0,6,2,1
2025,      439913701,3,4399,137,1,2,5,2,1
2025,      439919201,4,4399,192,1,2,6,1,1
2025,      439919201,5,4399,192,1,0,11,2,2
2025,      440001201,4,4400,12,1,0,6,2,1
2025,      440001301,6,4400,13,1,2,7,2,1
2025,      440001701,5,4400,17,1,0,2,2,1
2025,      440008201,5,4400,82,1,1,5,2,1
2025,      442209801,6,4422,98,1,1,0,2,1
2025,      442306201,5,4423,62,1,0,7,2,1
2025,      443001701,1,4430,17,1,0,7,2,1
2025,      443103401,6,4431,34,1,0,1,2,1
2025,      443105501,4,4431,55,1,1,4,2,1
2025,      443203201,4,4432,32,1,1,6,2,1
2025,      443310701,3,4433,107,1,0,1,2,1
2025,      443400301,6,4434,3,1,0,3,1,1
2025,      443400301,7,4434,3,1,0,3,2,2
2025,      443408601,5,4434,86,1,1,3,2,1
2025,      443703401,2,4437,34,1,0,5,2,1
2025,      443902401,4,4439,24,1,0,4,2,1
2025,      443903201,3,4439,32,1,1,1,2,1
2025,      443903601,3,4439,36,1,2,2,2,1
2025,      443906001,4,4439,60,1,2,2,2,1
2025,      444104901,3,4441,49,1,2,6,2,1
2025,      444606801,4,4446,68,1,0,6,2,1
2025,      444901401,6,4449,14,1,0,2,1,1
2025,      444901401,7,4449,14,1,0,2,2,2
2025,      444907701,5,4449,77,1,1,4,2,1
2025,      445000201,6,4450,2,1,1,0,2,1
2025,      445107601,4,4451,76,1,0,8,2,1
2025,      445204201,8,4452,42,1,0,6,2,1
2025,      445300301,5,4453,3,1,2,8,2,1
2025,      445301901,5,4453,19,1,0,3,2,1
2025,      445311201,5,4453,112,1,0,3,2,1
2025,      445406301,4,4454,63,1,0,4,2,1
2025,      445415101,4,4454,151,1,0,3,2,1
2025,      445500401,6,4455,4,1,0,4,2,1
2025,      445607901,4,4456,79,1,0,11,2,1
2025,      445608101,5,4456,81,1,1,1,2,1
2025,      445609101,4,4456,91,1,2,0,2,1
2025,      445700201,3,4457,2,1,2,7,2,1
2025,      445700501,4,4457,5,1,0,4,2,1
2025,      445705601,5,4457,56,1,2,0,2,1
2025,      445708501,4,4457,85,1,0,2,2,1
2025,      448207001,3,4482,70,1,1,2,2,1
2025,      448708401,4,4487,84,1,0,8,2,1
2025,      449000201,4,4490,2,1,1,6,2,1
2025,      449004501,2,4490,45,1,1,6,2,1
2025,      449006501,3,4490,65,1,2,4,2,1
2025,      449007101,3,4490,71,1,0,3,2,1
2025,      449200101,6,4492,1,1,1,3,2,1
2025,      449200301,3,4492,3,1,0,1,2,1
2025,      449200701,3,4492,7,1,1,3,2,1
2025,      449203101,5,4492,31,1,0,3,2,1
2025,      449606601,6,4496,66,1,0,6,2,1
2025,      449811301,5,4498,113,1,1,1,2,1
2025,      449813501,3,4498,135,1,0,6,2,1
2025,      450003201,6,4500,32,1,2,0,2,1
2025,      450004401,5,4500,44,1,0,10,2,1
2025,      450106101,3,4501,61,1,0,8,2,1
2025,      450106201,5,4501,62,1,0,8,2,1
2025,      450106301,3,4501,63,1,1,0,2,1
2025,      450107201,4,4501,72,1,1,0,2,1
2025,      450200401,3,4502,4,1,1,0,2,1
2025,      450202301,4,4502,23,1,2,4,2,1
2025,      450202601,4,4502,26,1,2,0,2,1
2025,      450206201,4,4502,62,1,3,0,2,1
2025,      450206701,5,4502,67,1,1,0,2,1
2025,      450303101,3,4503,31,1,0,2,2,1
2025,      450303701,4,4503,37,1,0,4,2,1
