ID1,NRO_ORDEN_ID,QH30M,QH31M,QH32M_M,QH32M_Y,QH33M,HHID
2023,1,1,68,9,2019, ,      045001101
2023,1,2,70,4,2018, ,      045001401
2023,1,1,57,5,2022, ,      045211101
2023,1,1,46,7,2018, ,      045507401
2023,1,2,0,8,2021, ,      046508501
2023,1,1,86,11,2018, ,      046509201
2023,1,2,93,6,2023, ,      047409701
2023,1,2,43,4,2021,4,      049012601
2023,1,1,95,11,2018, ,      049306501
2023,2,2,87,11,2022, ,      049306501
2023,1,2,41,7,2019,4,      050101401
2023,1,2,1,12,2019, ,      050306701
2023,1,1,56,8,2018, ,      050308101
2023,1,1,59,5,2022, ,      050308301
2023,1,1,55,10,2018, ,      050312101
2023,1,1,70,6,2022, ,      050812001
2023,1,2,36,10,2021,4,      051501001
2023,1,2,75,11,2018, ,      051611101
2023,1,1,62,12,2022, ,      052300301
2023,1,2,104,11,2022, ,      052403101
2023,1,2,78,2,2020, ,      052403501
2023,1,2,64,6,2021, ,      052411301
2023,1,2,31,8,2020,4,      053010201
2023,1,1,82,8,2018, ,      053104601
2023,2,2,71,9,2022, ,      053104601
2023,1,2,70,10,2018, ,      054900601
2023,1,1,54,9,2021, ,      055802101
2023,1,2,68,4,2023, ,      056412601
2023,1,2,73,4,2022, ,      056412801
2023,1,1,72,4,2022, ,      056512201
2023,1,1,70,6,2021, ,      056802601
2023,1,2,75,5,2020, ,      056807001
2023,1,1,80,6,2020, ,      058007601
2023,1,2,53,1,2022, ,      058201001
2023,1,2,55,9,2019, ,      058207701
2023,2,1,80,11,2021, ,      058207701
2023,1,1,60,5,2022, ,      058208001
2023,1,1,98,3,2021, ,      060100601
2023,1,1,72,8,2020, ,      060108801
2023,1,1,96,5,2019, ,      060605801
2023,1,2,84,2,2018, ,      060805601
2023,1,2,47,9,2020,4,      060914101
2023,1,1,39,11,2019, ,      061207401
2023,1,1,59,10,2022, ,      061407701
2023,1,2,73,10,2019, ,      062611301
2023,1,2,65,2,2022, ,      065001801
2023,1,2,63,3,2019, ,      065300201
2023,1,1,74,3,2023, ,      065304501
2023,1,2,66,3,2023, ,      065504501
2023,1,2,72,8,2020, ,      065510101
2023,1,2,76,11,2018, ,      066106101
2023,2,1,81,7,2020, ,      066106101
2023,1,2,49,5,2018,4,      066900801
2023,1,1,81,11,2022, ,      067212001
2023,1,2,62,3,2022, ,      069121801
2023,1,2,84,2,2020, ,      069306301
2023,1,1,19,2,2022, ,      069500701
2023,1,2,63,6,2020, ,      069510801
2023,1,2,86,6,2021, ,      070216501
2023,1,1,65,5,2021, ,      072000801
2023,1,1,56,6,2020, ,      072005701
2023,1,2,54,9,2022, ,      072404101
2023,1,2,93,6,2020, ,      072421701
2023,1,2,53,9,2018, ,      072706201
2023,1,2,33,7,2019,4,      073401102
2023,1,1,56,5,2021, ,      073608301
2023,2,2,89,5,2022, ,      073608301
2023,1,2,60,1,2021, ,      074215501
2023,1,2,79,5,2021, ,      074407901
2023,1,2,90,3,2020, ,      074413501
2023,1,1,76,9,2022, ,      074414701
2023,1,1,0,11,2019, ,      074602501
2023,2,2,70,12,2019, ,      074602501
2023,1,2,67,4,2020, ,      074606301
2023,1,1,66,12,2020, ,      075603401
2023,1,2,86,3,2020, ,      075603601
2023,1,1,93,1,2020, ,      075607401
2023,1,2,51,10,2021, ,      076912901
2023,1,1,63,4,2021, ,      078003701
2023,2,2,53,4,2021, ,      078003701
2023,1,2,69,12,2019, ,      078101301
2023,1,2,85,2,2021, ,      078301801
2023,1,2,73,10,2019, ,      078703001
2023,1,1,80,4,2020, ,      078703101
2023,1,1,74,4,2019, ,      078810701
2023,1,2,99,9,2021, ,      078901301
2023,1,2,78,2,2019, ,      078916601
2023,1,1,87,4,2020, ,      079600401
2023,2,2,87,1,2023, ,      079600401
2023,1,1,48,4,2018, ,      080008501
2023,1,1,54,9,2022, ,      080215101
2023,1,2,92,10,2020, ,      081004801
2023,1,2,56,5,2021, ,      081005501
2023,2,2,81,5,2021, ,      081005501
